UserId,"Recommended Listing,Rating"
14438,"[(10963433, 4.91380655245701), (5051551, 4.8565051661768788), (581488, 4.8351267835810772)]"
1579517,"[(8309731, 4.8899943370908794), (1987371, 4.8500998170239349), (13238211, 4.8379377749730583)]"
19906162,"[(921441, 4.8601520996092864), (9425922, 4.8134457159674202), (18413446, 4.8071201543400814)]"
25334866,"[(15602702, 4.7891135891535734), (9168614, 4.7832626623253258), (14982907, 4.7714101197575784)]"
34872761,"[(17173473, 4.8207246067412965), (16302024, 4.8161341581044006), (13020422, 4.8020569322955833)]"
27483926,"[(5978999, 4.5473933303424783), (16324410, 4.5459497578756123), (3344643, 4.5416547682681161)]"
1453775,"[(1798210, 4.8450258232495846), (8402207, 4.8313741421242549), (12951417, 4.815254753542777)]"
4033512,"[(17731335, 4.6937029999739845), (600286, 4.6833020482001508), (15665469, 4.6710254083382523)]"
5194410,"[(14264872, 4.4716855661325239), (6596747, 4.4507864648277291), (437352, 4.4384455285363673)]"
103633990,"[(112435, 4.6669067756447591), (18894295, 4.6463664632507538), (9810696, 4.6434103812311438)]"
12040495,"[(13466227, 4.6759318233873604), (4550353, 4.6653999079359485), (10155150, 4.652483520892738)]"
47966718,"[(15883070, 4.4572837571366586), (1363336, 4.4336981675756455), (8664721, 4.430961117642787)]"
20407655,"[(112435, 4.7964682113641341), (488211, 4.7674665358233055), (9434495, 4.7541222973960071)]"
3954746,"[(11575073, 4.7993862753682661), (159019, 4.7970086592579477), (14918238, 4.7705079650667406)]"
3482958,"[(4915953, 4.8679061266057904), (3792523, 4.8078904045797026), (17906998, 4.8063512623120364)]"
113898726,"[(12711351, 4.8166866952108895), (7619039, 4.8014345374387313), (14869642, 4.7855242760182071)]"
1495535,"[(13951702, 4.7206618505108286), (8857546, 4.680143925320202), (470090, 4.6666657881997908)]"
10216348,"[(1987371, 4.9094652493972131), (17382463, 4.8437858896890624), (10475237, 4.8386592293188997)]"
1,"[(4227554, 4.6639198838879112), (5509771, 4.6609182964228344), (200955, 4.636149945078996)]"
18986129,"[(279816, 4.8456361224061899), (13231583, 4.7864902598349941), (2071420, 4.7796030053536835)]"
1131711,"[(10139922, 4.68924369784252), (2582812, 4.6386518946371078), (68974, 4.6230642292686985)]"
84558452,"[(10658250, 4.7604084366041208), (1888006, 4.7466449079425006), (7902556, 4.7287711965930646)]"
7343714,"[(6538963, 4.5190890268810628), (2629613, 4.5138421134071915), (4550353, 4.5091407641790617)]"
3013350,"[(5655763, 4.7475164364353599), (11143985, 4.7299207928859746), (10963433, 4.716100950947185)]"
15028764,"[(13201181, 4.8269382030205179), (14101329, 4.8129924232186534), (258865, 4.7832389676681322)]"
34996571,"[(1987371, 4.5683815035815432), (15720449, 4.5370169423482292), (6680201, 4.5310000189241491)]"
2758,"[(506121, 4.7175377710273283), (4293935, 4.7160498350995113), (67208, 4.7001485028712375)]"
7707927,"[(506121, 4.5620644001734494), (15852802, 4.5065904008204756), (6384275, 4.5010020036387575)]"
161989,"[(9907307, 4.6390511734069477), (4119696, 4.6374256125362949), (14341397, 4.6355593016912628)]"
1128794,"[(3972453, 4.8044856976422974), (10658250, 4.801680479797457), (18234572, 4.7918882396197384)]"
6778053,"[(2336995, 4.7501780688661421), (4456094, 4.7099644387118991), (17593461, 4.7085950102699714)]"
72656,"[(10658250, 4.8276717354785026), (13951702, 4.8103395106956519), (16324410, 4.791247652743178)]"
13267647,"[(112435, 4.7748309026591942), (13729934, 4.6998554637232886), (15681476, 4.6941932458593714)]"
1089610,"[(15990572, 4.6541851687858671), (566712, 4.6365730320079974), (16324410, 4.627732540261106)]"
50522612,"[(112435, 4.7044389930099673), (8309731, 4.6884622713356832), (1363336, 4.645317305911119)]"
10478114,"[(3512428, 4.5092887904452104), (15344749, 4.4996497587896762), (4109246, 4.4985866846063551)]"
15544570,"[(9022864, 4.5376371195733771), (15484380, 4.5349595701382537), (13779555, 4.5201791062630869)]"
57667100,"[(7698190, 4.4986821939829493), (15134267, 4.4671513055029841), (14982907, 4.4570226767423335)]"
18146200,"[(11575073, 4.7604318786409987), (18181381, 4.7416738066509465), (7826906, 4.7082873257457285)]"
50481104,"[(413504, 4.6183661012458019), (10658250, 4.6139851047473224), (9907307, 4.6019692481923924)]"
39702244,"[(1194066, 4.6908668951139525), (15665469, 4.6817018253451907), (818518, 4.6715526405445216)]"
75455486,"[(16302024, 4.6843682435217122), (506121, 4.6600831319476086), (15561225, 4.6423199408320572)]"
23545132,"[(533927, 4.940622206291204), (12046665, 4.9290769552071714), (67208, 4.9182279075361848)]"
47267348,"[(953951, 4.7344287572272368), (2419574, 4.7298383888395295), (715102, 4.7259106910290845)]"
23760377,"[(5636395, 4.8240685183221714), (11588250, 4.8170583482254701), (7227235, 4.7910714004631894)]"
2825200,"[(7905098, 4.5236150213591877), (8309731, 4.5177270144078854), (4462008, 4.5160592726175137)]"
90152761,"[(8327773, 4.5937997992550148), (9525925, 4.5777582897633682), (11046881, 4.5757555212012591)]"
26130830,"[(2071420, 4.7685141206191606), (4549930, 4.7614715451019167), (17284675, 4.7397807032726726)]"
105633835,"[(813793, 4.7028167454610355), (4150159, 4.7019840365795469), (5406581, 4.6876016873240012)]"
33774886,"[(11826442, 4.7924364001084694), (1430650, 4.7914917547009344), (4469455, 4.7858173817675622)]"
1337297,"[(10658250, 4.7462984794821246), (7619039, 4.7432218232404786), (18443476, 4.733682009075828)]"
6558571,"[(15782857, 4.7207377321007842), (15867800, 4.7177034368761799), (13355002, 4.7153927892591669)]"
5153116,"[(4456094, 4.6698243019327723), (14246246, 4.6444043598530351), (1987371, 4.6371868871341713)]"
6437980,"[(4604991, 4.7464334416542329), (6094597, 4.7270600204795139), (10021680, 4.7055942718287511)]"
29719,"[(9907307, 4.734811398290188), (673760, 4.7239842991468342), (6685697, 4.72109314744581)]"
5264081,"[(18934106, 4.6722278312483558), (331854, 4.6490572120648839), (4098085, 4.6351369831872162)]"
12906814,"[(6051044, 4.5987456219246541), (6014926, 4.5856687253004278), (8845441, 4.5781675332634606)]"
29986532,"[(2071420, 4.7428161057015874), (241140, 4.725460351863088), (10658250, 4.7010406858099003)]"
33846161,"[(16284740, 4.6650328556505674), (2563135, 4.6410728347173054), (1091840, 4.6290118023973488)]"
56969253,"[(4550353, 4.8514419101167103), (1546380, 4.806509859511447), (14240385, 4.7961861103066203)]"
253321,"[(1987584, 4.7342244919761969), (742795, 4.7086719963407822), (9670576, 4.7080857158028939)]"
31753149,"[(10658250, 4.7193384452381553), (1445542, 4.6877037822360723), (4469455, 4.6807523129293385)]"
59327995,"[(4501164, 4.7607456785801174), (9887763, 4.7099446194311803), (67208, 4.678372661826387)]"
75744034,"[(13082957, 4.8562569025753675), (5094957, 4.8199450017803267), (16790525, 4.7935853812342684)]"
50081491,"[(506121, 4.6351689649924754), (15681476, 4.5950129994472491), (133025, 4.5934173403424126)]"
112901040,"[(506121, 4.7048873088797718), (13247674, 4.7008433010449906), (1704560, 4.67262302650634)]"
523596,"[(3914400, 4.7269014212882894), (7488402, 4.7257023968557936), (53469, 4.7251114112166999)]"
604737,"[(3430103, 4.6823781856559377), (2629046, 4.6537250639862462), (533927, 4.6446284401750528)]"
3953496,"[(2847633, 4.6145083343675575), (14982907, 4.6141201320953042), (9788114, 4.6135108114677132)]"
1305604,"[(13533366, 4.6688071464450323), (5635192, 4.6135107344946293), (813225, 4.6052605325066533)]"
1888759,"[(6132757, 4.6719696565384927), (112435, 4.661124793138737), (4469455, 4.6086167186133116)]"
39104477,"[(4604991, 4.6818105552550922), (3464920, 4.6742376184041579), (15930837, 4.6561159608007872)]"
39862013,"[(886833, 4.6581942877007183), (16302024, 4.6432625015074489), (13130122, 4.6427813435988838)]"
19024564,"[(8309731, 4.8721175875799343), (13514679, 4.7972240811982996), (12991105, 4.7724773941083223)]"
1820185,"[(10963433, 4.7971433624096296), (10658250, 4.7870271930647865), (5895082, 4.7334611910815969)]"
15431074,"[(6221877, 4.7134435142658715), (18181381, 4.6958133972887204), (8838932, 4.6855857983816787)]"
11004039,"[(16274179, 4.8369152845461976), (112435, 4.8357913473456442), (5864956, 4.827324244114453)]"
13040129,"[(3562245, 4.6098311686299525), (3464920, 4.607927576245296), (403056, 4.5962796643567527)]"
34692660,"[(2563611, 4.8747418966938199), (9445766, 4.8708824016400456), (18894532, 4.8671493075555103)]"
41842695,"[(14240385, 4.6989473981055516), (11356941, 4.6877160060933809), (5593225, 4.6696264975722404)]"
203394,"[(6717053, 4.6452842318843821), (1407364, 4.6380574376307102), (5864956, 4.618198449146532)]"
68232742,"[(13357800, 4.7275827328295943), (14138706, 4.7154386383049234), (18070342, 4.7104930069640423)]"
114374174,"[(1706103, 4.7716392733962545), (4456094, 4.7469061992626154), (1982923, 4.7421426559103574)]"
9676041,"[(17252229, 4.6938930170743243), (1630572, 4.6811394504059241), (6680201, 4.6788318095799157)]"
19378311,"[(16367820, 4.6129597838787806), (16324410, 4.6123128200053216), (13309588, 4.6021729722365441)]"
8515040,"[(2036690, 4.7258455925676355), (1987371, 4.7205046350251161), (4792529, 4.6998167305742555)]"
18844442,"[(506121, 4.7698812794962491), (9651126, 4.740468267724796), (4047815, 4.6839237839658203)]"
147319,"[(18071246, 4.6296719361141214), (7826906, 4.6170355755760317), (2036690, 4.6149823415976075)]"
27106082,"[(10658250, 4.4511642344832039), (17152737, 4.4117183426951563), (14917765, 4.3475856486135385)]"
21136520,"[(506121, 4.7200040639117891), (11966623, 4.6911446263708978), (6316005, 4.6633463577107372)]"
14510237,"[(3344643, 4.8079065944725379), (19245145, 4.7994358907833341), (15665469, 4.7804096071890427)]"
1038716,"[(10658250, 4.7930892581341187), (973128, 4.7531329852482234), (13396077, 4.7377920627635568)]"
19171259,"[(16156563, 4.6922580717109357), (14101329, 4.6766862149302275), (1342296, 4.6714630188480877)]"
31620275,"[(6795657, 4.6948539479821072), (8957187, 4.6920588122805631), (479255, 4.6885145498919396)]"
131105173,"[(165919, 4.7976199842854061), (5067417, 4.7662337297316597), (11080142, 4.7645859032679363)]"
60430097,"[(14240385, 4.6379332916251261), (9711313, 4.6165885810722234), (16146834, 4.6057425740065678)]"
50995059,"[(2679171, 4.6540188496639914), (14152806, 4.6186106448931161), (17593461, 4.6157452991286378)]"
43326493,"[(16463598, 4.841801923654681), (5051551, 4.766482438312921), (53469, 4.752793680013947)]"
88583484,"[(8309731, 4.7874243269909238), (8664721, 4.7607682725427019), (8952816, 4.7294603442651457)]"
66466301,"[(1143727, 4.7227194775215464), (16534098, 4.694022253932828), (17173473, 4.6863290197374621)]"
8733703,"[(9576478, 4.6301620097567451), (13450862, 4.6184580114392721), (53469, 4.6076224010536162)]"
31666509,"[(2036690, 4.756084208061254), (19036361, 4.7315336638015948), (6146783, 4.724572188904653)]"
453030,"[(10658250, 4.7383457151715538), (177709, 4.7090200498539145), (6314389, 4.7083218806960021)]"
22776074,"[(15860051, 4.5801476836253574), (11148542, 4.5374461525360656), (1073832, 4.5175327602966107)]"
9310729,"[(648047, 4.6586023707328339), (6051044, 4.6052054169120957), (1439162, 4.5953616092954848)]"
33840503,"[(752202, 4.6663221310799567), (9445766, 4.6510107763052595), (14264872, 4.6500909442138436)]"
72944658,"[(17211583, 4.7259948787936743), (8664965, 4.7224228515795366), (14713931, 4.7091274273815431)]"
20828462,"[(9907307, 4.6565733305852639), (14240385, 4.6545264219258851), (16092710, 4.6457811004216136)]"
49293837,"[(6132757, 4.6963378976119259), (4595507, 4.6717071270499506), (2096641, 4.671469617325668)]"
48633687,"[(112435, 4.7087284901437378), (4866426, 4.6943349894577207), (12972783, 4.6930304152731575)]"
2755818,"[(14917765, 4.7193167949463968), (8309731, 4.7189019976911659), (15561225, 4.6924427113082725)]"
2504829,"[(18985595, 4.4139835749840906), (14014784, 4.4049385477515992), (323512, 4.403450361760795)]"
9473842,"[(17806485, 4.7817479583837237), (13275792, 4.7171105826533788), (2847652, 4.7023209895834812)]"
4289954,"[(1987371, 4.7599270077392664), (287421, 4.6892565601556875), (4456094, 4.6781409058289034)]"
93119678,"[(14982907, 4.7601711204436006), (13299532, 4.7254809207219131), (12564287, 4.6909295153638668)]"
10627038,"[(10138784, 4.783376152959864), (6014926, 4.7694943280086814), (16586422, 4.7511134220191318)]"
4060219,"[(10658250, 4.4049831915585127), (910976, 4.4002123004785094), (8901064, 4.3851015191959606)]"
23706658,"[(17023591, 4.8412375228696849), (5051551, 4.7407313940748192), (112435, 4.7178014451926424)]"
31235046,"[(1069758, 4.5429074416329609), (8097567, 4.5427438456844298), (6655763, 4.5359039229689646)]"
755130,"[(3464920, 4.7328132879861213), (10963433, 4.7230259861050987), (2968729, 4.718771193982608)]"
128279698,"[(6314389, 4.7116754922495403), (1545542, 4.6923267454482014), (270139, 4.6610749913736615)]"
6591073,"[(15422083, 4.5828168645715426), (11356941, 4.5572549723530269), (592831, 4.5396176514139643)]"
25608834,"[(8943358, 4.8136992054863619), (5728721, 4.785617554332485), (13478244, 4.7838554145912893)]"
8637708,"[(14069371, 4.7551004515473885), (9716234, 4.7543500465378683), (4951389, 4.7376572406022399)]"
